"dataset_ID","meantimes","Angelica","Caltha","Caltha.palustris","Carex","Cladium.mariscus","Cyperaceae","Cyperaceae.1","Drosera","Drosera.anglica","Drosera.intermedia","Drosera.rotundifolia","Drosera.rotundifolia.D..anglica","Droseraceae","Equisetum","Eriophorum","Filipendula","Juncaceae","Lentibulariaceae","Lotus","Lotus.pedunculatus","Menyanthes.trifoliata","Micranthes.stellaris","Narthecium.ossifragum","Ophioglossum","Ophioglossum.vulgatum","Oxyria","Oxyria.digyna","Parnassia","Parnassia.palustris","Pedicularis","Pedicularis.palustris","Peucedanum","Pinguicula","Plantago.maritima","Rhynchospora","Rhynchospora.alba","Scheuchzeria","Scheuchzeria.palustris","Schoenus","Selaginella","Selaginella.selaginoides","Silene.dioica","Silene.flos.cuculi","Teucrium","Thelypteris.palustris","Tofieldia","Tofieldia.pusilla","Trollius","Trollius.europaeus","Valeriana","Valeriana.excelsa","Valeriana.officinalis"
"12",2741.197,NA,NA,NA,NA,"0","9",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2937.323,NA,NA,NA,NA,"0","7",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3039.663,NA,NA,NA,NA,"0","9",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3133.014,NA,NA,NA,NA,"0","6",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3230.126,NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3382.778,NA,NA,NA,NA,"0","3",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3542.28,NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3675.086,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3782.671,NA,NA,NA,NA,"0","0",NA,"1",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3933.81,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4049.243,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4143.8,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4232.438,NA,NA,NA,NA,"0","2",NA,"1",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4331.842,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4490.224,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4593.856,NA,NA,NA,NA,"0","1",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4675.792,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4756.262,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4833.042,NA,NA,NA,NA,"0","2",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4909.289,NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
